App_Name,Review,Platforms,Link,Age_Rating,Date_Published
Disney Getaway Blast,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/disney-getaway-blast,8,2020-03-09
All the World: Better Learning,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/all-the-world-better-learning,4,2020-02-21
Free Stranger Chat Anonymous Chat :Blindmatch,2,Android,https://www.commonsensemedia.org/app-reviews/free-stranger-chat-anonymous-chat-blindmatch,17,2020-02-21
Draw Joust!,1,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/draw-joust,10,2020-05-08
King of Opera,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/king-of-opera,5,2020-05-06
Super Stickman Golf 3,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/super-stickman-golf-3,5,2020-05-05
Otsimo Special Education AAC,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/otsimo-special-education-aac,3,2020-05-03
Pico Rally,4,"iPhone, iPad",https://www.commonsensemedia.org/app-reviews/pico-rally,6,2020-07-02
Small Town Murders: Match 3,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/small-town-murders-match-3,10,2020-07-01
Wisdom: The World of Emotions,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/wisdom-the-world-of-emotions,4,2020-06-28
Pokemon Cafe Mix,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/pokemon-cafe-mix,6,2020-06-26
Royal Match,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/royal-match,8,2021-04-09
Monopoly Junior,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/monopoly-junior,5,2021-04-09
NBA Ball Stars,1,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/nba-ball-stars,10,2021-04-09
League of Legends: Wild Rift,5,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/league-of-legends-wild-rift,10,2021-04-07
Cobra Kai: Card Fighter,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/cobra-kai-card-fighter,10,2021-04-05
Smart Tales: Books and Games,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/smart-tales-books-and-games,3,2020-06-05
Disc Drivin' 2,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/disc-drivin-2,10,2020-06-04
